Level	Rule Name	Subject	Property	Value
WARN	missing_definition	RADONT:00000000	IAO:0000115		
WARN	missing_definition	RADONT:00000000	IAO:0000600		
INFO	missing_superclass	RADONT:00000000	rdfs:subClassOf		
